Model,Model_Params,Cost_Matrix_Value,Optimizer,Optimizer_Params,Accuracy,Precision,Recall,F1-score,MCC,Avg_ROI,TP_positions,total_positions,positive_positions
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 256, 'num_layers': 3}",1.627659574,RMSprop,{'lr': 0.001},0.599190283,0.333333333,0.445255474,0.38125,0.095963879,0.008899405,61,183,100
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 128, 'num_layers': 4}",0.15,Adam,{'lr': 0.001},0.700404858,0.387755102,0.138686131,0.204301075,0.081851477,0.008896202,19,49,31
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 128, 'num_layers': 4}",0.05,RMSprop,{'lr': 0.001},0.70242915,0.34375,0.080291971,0.130177515,0.039048012,0.008870027,11,32,17
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 256, 'num_layers': 2}",0.15,Adam,{'lr': 0.001},0.700404858,0.382978723,0.131386861,0.195652174,0.076524494,0.00882165,18,47,33
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 256, 'num_layers': 2}",0.3,Adam,{'lr': 0.001},0.674089069,0.342105263,0.189781022,0.244131455,0.061698448,0.008753864,26,76,48
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 64, 'num_layers': 2}",0.1,Adam,{'lr': 0.001},0.678137652,0.372093023,0.233576642,0.286995516,0.097185186,0.008700916,32,86,52
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 32, 'num_layers': 4}",0.15,Adam,{'lr': 0.001},0.623481781,0.297520661,0.262773723,0.279069767,0.025690099,0.008630486,36,121,69
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 128, 'num_layers': 3}",0.4,Adam,{'lr': 0.01},0.546558704,0.317991632,0.554744526,0.404255319,0.087936317,0.008557369,76,239,134
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 128, 'num_layers': 3}",0.2,Adam,{'lr': 0.01},0.578947368,0.314136126,0.437956204,0.365853659,0.065278835,0.008531764,60,191,113
ComplexCNN,"{'dropout_rate': 0.5, 'hidden_dim': 128}",0.2,Adam,{'lr': 0.001},0.720647773,0,0,0,-0.027899904,0.00852232,0,1,1
