Model,Model_Params,Cost_Matrix_Value,Optimizer,Optimizer_Params,Accuracy,Precision,Recall,F1-score,MCC,Avg_ROI,TP_positions,total_positions,positive_positions
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 32, 'num_layers': 3}",0.05,RMSprop,{'lr': 0.01},0.643724696,0.303030303,0.218978102,0.254237288,0.028742513,0.005365346,30,99,48
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 128, 'num_layers': 4}",0.4,RMSprop,{'lr': 0.001},0.578947368,0.261744966,0.284671533,0.272727273,-0.022875276,0.005365047,39,149,80
MLP,"{'dropout_rate': 0.5, 'hidden_dim': 128}",0.1,RMSprop,{'lr': 0.001},0.421052632,0.274924471,0.664233577,0.388888889,-0.00765051,0.005361881,91,331,167
CNN1D,"{'dropout_rate': 0.1, 'hidden_dim': 128}",0.15,Adam,{'lr': 0.001},0.331983806,0.282167043,0.912408759,0.431034483,0.031857715,0.005338058,125,443,231
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 128, 'num_layers': 3}",0.1,RMSprop,{'lr': 0.001},0.532388664,0.280373832,0.437956204,0.341880342,0.005948063,0.005332987,60,214,115
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 256, 'num_layers': 2}",1.627659574,RMSprop,{'lr': 0.001},0.293522267,0.281893004,1,0.439807384,0.079479117,0.005320506,137,486,253
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 128, 'num_layers': 2}",1.627659574,Adam,{'lr': 0.001},0.299595142,0.279069767,0.96350365,0.432786885,0.018465446,0.005311137,132,473,245
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 256, 'num_layers': 3}",1.627659574,RMSprop,{'lr': 0.01},0.325910931,0.284140969,0.941605839,0.436548223,0.051270912,0.005310622,129,454,237
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 256, 'num_layers': 4}",1.627659574,RMSprop,{'lr': 0.01},0.427125506,0.298342541,0.788321168,0.432865731,0.077735811,0.005305527,108,362,181
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 256, 'num_layers': 2}",0.3,Adam,{'lr': 0.01},0.591093117,0.284768212,0.313868613,0.298611111,0.011027144,0.005299368,43,151,87
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 256, 'num_layers': 3}",1.627659574,Adam,{'lr': 0.001},0.313765182,0.283261803,0.96350365,0.437810945,0.054073482,0.005291195,132,466,243
MLP,"{'dropout_rate': 0.5, 'hidden_dim': 512}",0.2,RMSprop,{'lr': 0.001},0.534412955,0.285714286,0.452554745,0.350282486,0.016580421,0.005283855,62,217,109
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 2}",0.15,Adam,{'lr': 0.001},0.305668016,0.284518828,0.99270073,0.442276423,0.087794913,0.00528127,136,478,248
MLP,"{'dropout_rate': 0.5, 'hidden_dim': 128}",0.05,Adam,{'lr': 0.001},0.599190283,0.303225806,0.343065693,0.321917808,0.039116737,0.005254203,47,155,75
ComplexCNN,"{'dropout_rate': 0.5, 'hidden_dim': 32}",0.3,Adam,{'lr': 0.01},0.512145749,0.269911504,0.445255474,0.336088154,-0.015212981,0.005253599,61,226,124
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 3}",1.627659574,Adam,{'lr': 0.01},0.356275304,0.290023202,0.912408759,0.440140845,0.07417247,0.005253396,125,431,226
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 256, 'num_layers': 2}",0.05,RMSprop,{'lr': 0.001},0.568825911,0.293478261,0.394160584,0.336448598,0.027793415,0.005247882,54,184,99
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 128, 'num_layers': 4}",0.1,Adam,{'lr': 0.001},0.455465587,0.265957447,0.547445255,0.357995227,-0.0292933,0.005246332,75,282,140
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 256, 'num_layers': 3}",1.627659574,Adam,{'lr': 0.01},0.402834008,0.292105263,0.810218978,0.429400387,0.060265372,0.005229977,111,380,187
MLP,"{'dropout_rate': 0.3, 'hidden_dim': 128}",0.05,Adam,{'lr': 0.001},0.615384615,0.314685315,0.328467153,0.321428571,0.05326273,0.005220064,45,143,76
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 32, 'num_layers': 2}",0.1,RMSprop,{'lr': 0.001},0.5,0.299270073,0.598540146,0.399026764,0.054698502,0.005216479,82,274,147
MLP,"{'dropout_rate': 0.5, 'hidden_dim': 512}",0.2,Adam,{'lr': 0.001},0.48582996,0.282527881,0.554744526,0.374384236,0.012700367,0.005215481,76,269,134
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 4}",0.4,Adam,{'lr': 0.001},0.67611336,0.171428571,0.04379562,0.069767442,-0.065321115,0.005195909,6,35,16
MLP,"{'dropout_rate': 0.3, 'hidden_dim': 256}",0.15,Adam,{'lr': 0.001},0.441295547,0.26440678,0.569343066,0.361111111,-0.035141345,0.00517979,78,295,151
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 64, 'num_layers': 4}",0.3,Adam,{'lr': 0.01},0.287449393,0.27926078,0.99270073,0.435897436,0.036011819,0.005178866,136,487,252
CNN1D,"{'dropout_rate': 0.5, 'hidden_dim': 64}",0.1,RMSprop,{'lr': 0.001},0.317813765,0.274774775,0.890510949,0.419965577,-0.016994843,0.005176098,122,444,230
ComplexCNN,"{'dropout_rate': 0.1, 'hidden_dim': 64}",0.4,Adam,{'lr': 0.001},0.67611336,0.265306122,0.094890511,0.139784946,-0.008910879,0.00516848,13,49,23
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 32, 'num_layers': 4}",0.05,Adam,{'lr': 0.001},0.348178138,0.278177458,0.846715328,0.418772563,0.004416012,0.005161185,116,417,214
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 256, 'num_layers': 2}",1.627659574,RMSprop,{'lr': 0.01},0.301619433,0.283333333,0.99270073,0.440842788,0.078547246,0.00515803,136,480,250
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 128, 'num_layers': 2}",0.3,RMSprop,{'lr': 0.01},0.386639676,0.281578947,0.781021898,0.413926499,0.017336614,0.005157854,107,380,201
ComplexCNN,"{'dropout_rate': 0.1, 'hidden_dim': 64}",0.05,Adam,{'lr': 0.001},0.36437247,0.280397022,0.824817518,0.418518519,0.014426919,0.005150894,113,403,207
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 128, 'num_layers': 4}",1.627659574,Adam,{'lr': 0.001},0.301619433,0.283333333,0.99270073,0.440842788,0.078547246,0.005130597,136,480,247
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 32, 'num_layers': 2}",0.2,RMSprop,{'lr': 0.001},0.360323887,0.274559194,0.795620438,0.4082397,-0.01251193,0.00511923,109,397,201
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 32, 'num_layers': 2}",0.3,RMSprop,{'lr': 0.01},0.394736842,0.286842105,0.795620438,0.421663443,0.038800993,0.005111087,109,380,204
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 3}",0.2,Adam,{'lr': 0.001},0.307692308,0.281449893,0.96350365,0.435643564,0.039879762,0.005109464,132,469,242
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 32, 'num_layers': 4}",0.15,Adam,{'lr': 0.01},0.285425101,0.276859504,0.97810219,0.431561997,-0.00727949,0.005106248,134,484,249
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 256, 'num_layers': 3}",0.1,Adam,{'lr': 0.001},0.431174089,0.296610169,0.766423358,0.427698574,0.068490057,0.005103233,105,354,180
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 256, 'num_layers': 4}",0.15,RMSprop,{'lr': 0.001},0.354251012,0.291284404,0.927007299,0.443280977,0.085474652,0.005103135,127,436,231
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 32, 'num_layers': 2}",0.1,RMSprop,{'lr': 0.01},0.295546559,0.281573499,0.99270073,0.438709677,0.062841298,0.005102962,136,483,249
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 256, 'num_layers': 2}",1.627659574,RMSprop,{'lr': 0.01},0.307692308,0.277657267,0.934306569,0.428093645,0.002749536,0.005102636,128,461,239
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 4}",0.3,Adam,{'lr': 0.001},0.33805668,0.282110092,0.897810219,0.429319372,0.029287722,0.005099106,123,436,229
ComplexCNN,"{'dropout_rate': 0.5, 'hidden_dim': 32}",0.1,Adam,{'lr': 0.01},0.696356275,0.314285714,0.080291971,0.127906977,0.022796391,0.005098087,11,35,20
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 32, 'num_layers': 3}",0.1,RMSprop,{'lr': 0.001},0.522267206,0.28,0.459854015,0.348066298,0.005458768,0.005097442,63,225,120
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 256, 'num_layers': 4}",0.05,RMSprop,{'lr': 0.001},0.289473684,0.27892562,0.98540146,0.434782609,0.02482826,0.005087927,135,484,249
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 256, 'num_layers': 3}",0.15,Adam,{'lr': 0.001},0.366396761,0.288461538,0.875912409,0.433996383,0.057433815,0.005080911,120,416,210
ComplexCNN,"{'dropout_rate': 0.5, 'hidden_dim': 64}",0.05,RMSprop,{'lr': 0.001},0.372469636,0.274151436,0.766423358,0.403846154,-0.013180115,0.00507743,105,383,203
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 2}",0.2,Adam,{'lr': 0.01},0.354251012,0.287383178,0.897810219,0.43539823,0.057197233,0.005077071,123,428,224
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 4}",0.15,Adam,{'lr': 0.01},0.696356275,0.217391304,0.03649635,0.0625,-0.029585462,0.005071097,5,23,11
CNN1D,"{'dropout_rate': 0.5, 'hidden_dim': 64}",0.1,Adam,{'lr': 0.001},0.400809717,0.26686217,0.664233577,0.380753138,-0.034900771,0.005068412,91,341,170
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 64, 'num_layers': 3}",1.627659574,Adam,{'lr': 0.01},0.54048583,0.285714286,0.437956204,0.345821326,0.016108535,0.005067785,60,210,105
CNN1D,"{'dropout_rate': 0.5, 'hidden_dim': 128}",0.4,RMSprop,{'lr': 0.001},0.287449393,0.277432712,0.97810219,0.432258065,0.001550871,0.005064165,134,483,250
MLP,"{'dropout_rate': 0.3, 'hidden_dim': 256}",0.15,RMSprop,{'lr': 0.001},0.582995951,0.288343558,0.343065693,0.313333333,0.017267181,0.005061531,47,163,80
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 3}",0.4,RMSprop,{'lr': 0.001},0.400809717,0.279778393,0.737226277,0.40562249,0.009017946,0.00506092,101,361,183
ComplexCNN,"{'dropout_rate': 0.3, 'hidden_dim': 32}",0.3,RMSprop,{'lr': 0.001},0.508097166,0.25,0.386861314,0.303724928,-0.052927667,0.005038587,53,212,104
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 32, 'num_layers': 2}",0.4,Adam,{'lr': 0.001},0.360323887,0.286396181,0.875912409,0.431654676,0.047877585,0.005037132,120,419,212
MLP,"{'dropout_rate': 0.1, 'hidden_dim': 512}",0.15,RMSprop,{'lr': 0.001},0.443319838,0.268456376,0.583941606,0.367816092,-0.024435015,0.005035248,80,298,144
ComplexCNN,"{'dropout_rate': 0.3, 'hidden_dim': 32}",0.2,Adam,{'lr': 0.001},0.29757085,0.276595745,0.948905109,0.428336079,-0.00723769,0.005029464,130,470,242
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 64, 'num_layers': 3}",0.4,Adam,{'lr': 0.001},0.394736842,0.285714286,0.788321168,0.419417476,0.033816018,0.005027206,108,378,194
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 32, 'num_layers': 2}",1.627659574,Adam,{'lr': 0.001},0.706477733,0.277777778,0.03649635,0.064516129,0.000195401,0.00502678,5,18,11
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 32, 'num_layers': 3}",1.627659574,RMSprop,{'lr': 0.001},0.291497976,0.280412371,0.99270073,0.437299035,0.050577566,0.00502015,136,485,250
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 3}",0.1,Adam,{'lr': 0.01},0.281376518,0.272916667,0.95620438,0.424635332,-0.057696923,0.005017813,131,480,247
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 4}",0.3,RMSprop,{'lr': 0.001},0.291497976,0.280412371,0.99270073,0.437299035,0.050577566,0.004999107,136,485,250
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 64, 'num_layers': 3}",1.627659574,Adam,{'lr': 0.01},0.281376518,0.278455285,1,0.435612083,0.039496501,0.00499357,137,492,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 2}",0.2,RMSprop,{'lr': 0.001},0.425101215,0.254180602,0.554744526,0.348623853,-0.064025328,0.004991741,76,299,153
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 32, 'num_layers': 2}",0.1,Adam,{'lr': 0.001},0.336032389,0.261845387,0.766423358,0.390334572,-0.071813439,0.004976752,105,401,208
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 2}",0.3,Adam,{'lr': 0.001},0.321862348,0.275,0.883211679,0.419410745,-0.014843383,0.004972716,121,440,228
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 4}",0.05,Adam,{'lr': 0.001},0.281376518,0.278455285,1,0.435612083,0.039496501,0.004970408,137,492,252
CNN1D,"{'dropout_rate': 0.1, 'hidden_dim': 64}",0.1,Adam,{'lr': 0.01},0.317813765,0.277777778,0.912408759,0.425894378,0.003213461,0.004964664,125,450,231
MLP,"{'dropout_rate': 0.1, 'hidden_dim': 256}",0.1,RMSprop,{'lr': 0.001},0.370445344,0.279187817,0.802919708,0.414312618,0.008246432,0.00496352,110,394,197
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 256, 'num_layers': 3}",1.627659574,RMSprop,{'lr': 0.01},0.285425101,0.279591837,1,0.437001595,0.055970364,0.004963446,137,490,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 2}",0.05,Adam,{'lr': 0.01},0.281376518,0.27755102,0.99270073,0.433811802,0.005515328,0.004961687,136,490,252
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 128, 'num_layers': 3}",0.2,Adam,{'lr': 0.01},0.390688259,0.269662921,0.700729927,0.389452333,-0.02749989,0.004954408,96,356,185
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 32, 'num_layers': 4}",0.2,RMSprop,{'lr': 0.001},0.619433198,0.289256198,0.255474453,0.271317829,0.015175676,0.004951793,35,121,63
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 3}",1.627659574,RMSprop,{'lr': 0.01},0.289473684,0.280737705,1,0.4384,0.068689743,0.00495119,137,488,251
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 128, 'num_layers': 3}",0.15,Adam,{'lr': 0.01},0.524291498,0.277272727,0.445255474,0.341736695,-0.000110502,0.004947331,61,220,129
ResNet,{},1.627659574,RMSprop,{'lr': 0.001},0.291497976,0.266958425,0.890510949,0.410774411,-0.081404434,0.004936602,122,457,233
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 3}",0.05,Adam,{'lr': 0.001},0.28340081,0.278118609,0.99270073,0.434504792,0.017466245,0.004932558,136,489,252
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 128, 'num_layers': 3}",1.627659574,RMSprop,{'lr': 0.01},0.299595142,0.279069767,0.96350365,0.432786885,0.018465446,0.004925789,132,473,242
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 32, 'num_layers': 2}",0.4,RMSprop,{'lr': 0.01},0.311740891,0.28358209,0.97080292,0.438943894,0.060508665,0.004920116,133,469,244
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 4}",1.627659574,Adam,{'lr': 0.01},0.299595142,0.281837161,0.98540146,0.438311688,0.056918919,0.004920048,135,479,243
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 4}",0.3,Adam,{'lr': 0.001},0.287449393,0.280163599,1,0.437699681,0.062640721,0.004919897,137,489,251
CNN1D,"{'dropout_rate': 0.1, 'hidden_dim': 128}",0.1,Adam,{'lr': 0.001},0.279352227,0.276985743,0.99270073,0.433121019,-0.009778727,0.004919788,136,491,252
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 256, 'num_layers': 3}",0.2,Adam,{'lr': 0.001},0.293522267,0.280991736,0.99270073,0.438003221,0.056936011,0.004914948,136,484,248
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 128, 'num_layers': 4}",1.627659574,Adam,{'lr': 0.01},0.28340081,0.278118609,0.99270073,0.434504792,0.017466245,0.004914294,136,489,251
ComplexCNN,"{'dropout_rate': 0.3, 'hidden_dim': 32}",0.05,RMSprop,{'lr': 0.001},0.28340081,0.279022403,1,0.436305732,0.048422372,0.004913082,137,491,252
CNN1D,"{'dropout_rate': 0.5, 'hidden_dim': 128}",1.627659574,RMSprop,{'lr': 0.01},0.291497976,0.280412371,0.99270073,0.437299035,0.050577566,0.004912293,136,485,247
CNN1D,"{'dropout_rate': 0.5, 'hidden_dim': 128}",0.15,Adam,{'lr': 0.001},0.287449393,0.278350515,0.98540146,0.434083601,0.016767934,0.004911903,135,485,249
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 256, 'num_layers': 2}",0.15,RMSprop,{'lr': 0.001},0.279352227,0.277890467,1,0.434920635,0.027899904,0.004910375,137,493,253
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 256, 'num_layers': 3}",0.1,RMSprop,{'lr': 0.001},0.291497976,0.27672956,0.96350365,0.429967427,-0.007080127,0.004909444,132,477,245
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 3}",0.4,RMSprop,{'lr': 0.001},0.28340081,0.279022403,1,0.436305732,0.048422372,0.004906026,137,491,252
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 3}",0.4,Adam,{'lr': 0.001},0.295546559,0.280665281,0.98540146,0.436893204,0.04534554,0.004898373,135,481,246
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 4}",1.627659574,RMSprop,{'lr': 0.001},0.279352227,0.277890467,1,0.434920635,0.027899904,0.004894637,137,493,253
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 256, 'num_layers': 4}",1.627659574,RMSprop,{'lr': 0.001},0.279352227,0.277890467,1,0.434920635,0.027899904,0.004894322,137,493,253
MLP,"{'dropout_rate': 0.5, 'hidden_dim': 128}",0.15,RMSprop,{'lr': 0.001},0.520242915,0.259615385,0.394160584,0.313043478,-0.033741339,0.004890136,54,208,104
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 128, 'num_layers': 3}",1.627659574,Adam,{'lr': 0.001},0.285425101,0.279591837,1,0.437001595,0.055970364,0.004888961,137,490,252
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 64, 'num_layers': 2}",1.627659574,Adam,{'lr': 0.001},0.279352227,0.277890467,1,0.434920635,0.027899904,0.004888471,137,493,253
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 32, 'num_layers': 3}",0.4,Adam,{'lr': 0.01},0.346153846,0.276442308,0.839416058,0.415913201,-0.004568599,0.00488459,115,416,210
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 256, 'num_layers': 4}",1.627659574,RMSprop,{'lr': 0.01},0.285425101,0.277777778,0.98540146,0.433386838,0.007831884,0.004880954,135,486,248
ComplexCNN,"{'dropout_rate': 0.3, 'hidden_dim': 64}",0.15,Adam,{'lr': 0.001},0.309716599,0.282978723,0.97080292,0.438220758,0.055857937,0.004874323,133,470,240
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 4}",0.3,Adam,{'lr': 0.01},0.287449393,0.277432712,0.97810219,0.432258065,0.001550871,0.004871623,134,483,250
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 2}",1.627659574,RMSprop,{'lr': 0.01},0.279352227,0.277890467,1,0.434920635,0.027899904,0.004871369,137,493,253
MLP,"{'dropout_rate': 0.5, 'hidden_dim': 512}",0.3,RMSprop,{'lr': 0.001},0.491902834,0.291970803,0.583941606,0.389294404,0.036502502,0.004867834,80,274,143
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 3}",0.2,Adam,{'lr': 0.001},0.287449393,0.278350515,0.98540146,0.434083601,0.016767934,0.004861275,135,485,249
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 256, 'num_layers': 2}",0.05,Adam,{'lr': 0.001},0.406882591,0.279661017,0.722627737,0.403258656,0.008287053,0.004858841,99,354,180
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 2}",0.15,RMSprop,{'lr': 0.001},0.307692308,0.276688453,0.927007299,0.426174497,-0.00517289,0.004858624,127,459,233
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 128, 'num_layers': 4}",1.627659574,RMSprop,{'lr': 0.01},0.28340081,0.275362319,0.97080292,0.429032258,-0.029094342,0.004854494,133,483,247
ResNet,{},0.05,RMSprop,{'lr': 0.01},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
ResNet,{},0.15,RMSprop,{'lr': 0.01},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
ResNet,{},0.2,RMSprop,{'lr': 0.01},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
ResNet,{},1.627659574,Adam,{'lr': 0.01},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
ResNet,{},1.627659574,RMSprop,{'lr': 0.01},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 2}",0.05,Adam,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 2}",0.4,RMSprop,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 2}",1.627659574,Adam,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 2}",1.627659574,Adam,{'lr': 0.01},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 3}",0.05,Adam,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 3}",0.15,RMSprop,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 3}",1.627659574,Adam,{'lr': 0.01},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 3}",1.627659574,RMSprop,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 3}",1.627659574,RMSprop,{'lr': 0.01},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 4}",0.3,Adam,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 4}",1.627659574,Adam,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 4}",1.627659574,RMSprop,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 4}",1.627659574,RMSprop,{'lr': 0.01},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 2}",0.4,RMSprop,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 3}",1.627659574,RMSprop,{'lr': 0.01},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 4}",0.3,RMSprop,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 4}",1.627659574,Adam,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 4}",1.627659574,Adam,{'lr': 0.01},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 4}",1.627659574,RMSprop,{'lr': 0.01},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 2}",0.05,Adam,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 2}",0.1,RMSprop,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 2}",0.3,Adam,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 3}",0.4,RMSprop,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 3}",1.627659574,Adam,{'lr': 0.01},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 4}",1.627659574,RMSprop,{'lr': 0.01},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 256, 'num_layers': 4}",0.2,Adam,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 256, 'num_layers': 4}",1.627659574,Adam,{'lr': 0.001},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 256, 'num_layers': 4}",1.627659574,RMSprop,{'lr': 0.01},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 32, 'num_layers': 3}",1.627659574,Adam,{'lr': 0.01},0.277327935,0.277327935,1,0.434231379,0,0.004851979,137,494,253
