Model,Model_Params,Loss_Function,Optimizer,Optimizer_Params,Accuracy,Precision,Recall,F1-score,MCC,Avg_ROI,TP_positions,total_positions,positive_positions
MLP,{'dropout_rate': 0.1},CostSensitiveLoss,SGD,"{'lr': 0.01, 'momentum': 0.9}",0.6902834008097166,0.3,0.08759124087591241,0.13559322033898305,0.015032309202467495,0.004890801097581733,"[40 40 40 40 40  0  0 40  0  0  0  0  0  0 40  0  0  0  0  0  0  0 40 40
  0  0 40 40 40  0 40  0  0  0  0 40  0  0  0  0 40  0 40 40 40  0  0  0
 40  0 40  0  0  0  0 40  0 40  0  0 40  0  0  0  0  0  0 40  0 40  0 40
  0  0  0  0 40 40 40  0 40 40  0  0  0  0  0  0  0  0  0  0 40  0  0  0
 40 40 40 40  0  0  0  0  0  0  0  0  0  0  0  0  0 40 40 40  0  0  0 40
 40  0  0  0  0 40  0 40 40  0  0  0  0 40  0  0  0  0  0  0 40 40  0 40
  0  0  0 40  0  0  0  0  0 40 40  0  0  0 40 40  0  0  0 40  0  0  0 40
  0  0  0  0  0 40  0  0  0  0  0  0 40  0 40  0  0  0  0  0  0 40  0  0
 40  0 40  0  0  0 40 40 40  0  0  0 40  0  0  0 40 40  0  0  0  0 40  0
  0 40  0 40  0  0  0 40 40 40  0  0  0 40  0  0  0  0 40 40  0  0 40  0
 40 40  0 40  0 40 40  0 40  0  0 40  0 40  0  0  0  0  0  0 40  0  0  0
  0  0 40  0  0  0  0 40  0  0  0 40  0 40  0  0  0  0  0 40  0  0  0  0
 40  0  0  0 40 40  0  0  0  0  0  0 40  0  0  0 40  0  0  0 40  0  0  0
 40  0  0 40  0  0  0  0  0  0 40  0  0  0  0  0  0  0  0  0  0  0  0 40
 40  0  0 40  0  0  0 40  0  0  0 40 40  0  0  0  0  0  0  0  0  0  0  0
  0 40 40  0  0  0  0  0  0  0 40 40  0  0 40  0  0  0 40 40  0  0  0  0
 40  0  0  0  0  0  0  0  0 40  0  0  0  0 40  0  0  0  0 40  0  0  0  0
 40  0  0 40 40 40  0  0 40  0  0  0  0  0 40  0  0  0 40  0  0  0  0  0
  0  0  0  0 40  0  0 40  0 40  0  0  0  0 40  0 40  0  0 40 40  0 40 40
  0  0  0 40  0  0  0 40  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 40  0  0  0  0  0  0  0  0  0 40  0  0  0]",40,25
MLP,{'dropout_rate': 0.1},CostSensitiveLoss,Adam,{'lr': 0.001},0.3522267206477733,0.28868360277136257,0.9124087591240876,0.43859649122807015,0.06758094455917632,0.005567826268381803,"[433 433 433 433 433   0   0 433   0   0   0   0   0   0 433   0   0   0
   0   0   0   0 433 433   0   0 433 433 433   0 433   0   0   0   0 433
   0   0   0   0 433   0 433 433 433   0   0   0 433   0 433   0   0   0
   0 433   0 433   0   0 433   0   0   0   0   0   0 433   0 433   0 433
   0   0   0   0 433 433 433   0 433 433   0   0   0   0   0   0   0   0
   0   0 433   0   0   0 433 433 433 433   0   0   0   0   0   0   0   0
   0   0   0   0   0 433 433 433   0   0   0 433 433   0   0   0   0 433
   0 433 433   0   0   0   0 433   0   0   0   0   0   0 433 433   0 433
   0   0   0 433   0   0   0   0   0 433 433   0   0   0 433 433   0   0
   0 433   0   0   0 433   0   0   0   0   0 433   0   0   0   0   0   0
 433   0 433   0   0   0   0   0   0 433   0   0 433   0 433   0   0   0
 433 433 433   0   0   0 433   0   0   0 433 433   0   0   0   0 433   0
   0 433   0 433   0   0   0 433 433 433   0   0   0 433   0   0   0   0
 433 433   0   0 433   0 433 433   0 433   0 433 433   0 433   0   0 433
   0 433   0   0   0   0   0   0 433   0   0   0   0   0 433   0   0   0
   0 433   0   0   0 433   0 433   0   0   0   0   0 433   0   0   0   0
 433   0   0   0 433 433   0   0   0   0   0   0 433   0   0   0 433   0
   0   0 433   0   0   0 433   0   0 433   0   0   0   0   0   0 433   0
   0   0   0   0   0   0   0   0   0   0   0 433 433   0   0 433   0   0
   0 433   0   0   0 433 433   0   0   0   0   0   0   0   0   0   0   0
   0 433 433   0   0   0   0   0   0   0 433 433   0   0 433   0   0   0
 433 433   0   0   0   0 433   0   0   0   0   0   0   0   0 433   0   0
   0   0 433   0   0   0   0 433   0   0   0   0 433   0   0 433 433 433
   0   0 433   0   0   0   0   0 433   0   0   0 433   0   0   0   0   0
   0   0   0   0 433   0   0 433   0 433   0   0   0   0 433   0 433   0
   0 433 433   0 433 433   0   0   0 433   0   0   0 433   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0 433   0   0   0   0   0
   0   0   0   0 433   0   0   0]",433,228
MLP,{'dropout_rate': 0.1},CostSensitiveLoss,Adam,{'lr': 0.01},0.7267206477732794,0.5833333333333334,0.051094890510948905,0.09395973154362415,0.1078521355696565,0.014325527328438462,"[12 12 12 12 12  0  0 12  0  0  0  0  0  0 12  0  0  0  0  0  0  0 12 12
  0  0 12 12 12  0 12  0  0  0  0 12  0  0  0  0 12  0 12 12 12  0  0  0
 12  0 12  0  0  0  0 12  0 12  0  0 12  0  0  0  0  0  0 12  0 12  0 12
  0  0  0  0 12 12 12  0 12 12  0  0  0  0  0  0  0  0  0  0 12  0  0  0
 12 12 12 12  0  0  0  0  0  0  0  0  0  0  0  0  0 12 12 12  0  0  0 12
 12  0  0  0  0 12  0 12 12  0  0  0  0 12  0  0  0  0  0  0 12 12  0 12
  0  0  0 12  0  0  0  0  0 12 12  0  0  0 12 12  0  0  0 12  0  0  0 12
  0  0  0  0  0 12  0  0  0  0  0  0 12  0 12  0  0  0  0  0  0 12  0  0
 12  0 12  0  0  0 12 12 12  0  0  0 12  0  0  0 12 12  0  0  0  0 12  0
  0 12  0 12  0  0  0 12 12 12  0  0  0 12  0  0  0  0 12 12  0  0 12  0
 12 12  0 12  0 12 12  0 12  0  0 12  0 12  0  0  0  0  0  0 12  0  0  0
  0  0 12  0  0  0  0 12  0  0  0 12  0 12  0  0  0  0  0 12  0  0  0  0
 12  0  0  0 12 12  0  0  0  0  0  0 12  0  0  0 12  0  0  0 12  0  0  0
 12  0  0 12  0  0  0  0  0  0 12  0  0  0  0  0  0  0  0  0  0  0  0 12
 12  0  0 12  0  0  0 12  0  0  0 12 12  0  0  0  0  0  0  0  0  0  0  0
  0 12 12  0  0  0  0  0  0  0 12 12  0  0 12  0  0  0 12 12  0  0  0  0
 12  0  0  0  0  0  0  0  0 12  0  0  0  0 12  0  0  0  0 12  0  0  0  0
 12  0  0 12 12 12  0  0 12  0  0  0  0  0 12  0  0  0 12  0  0  0  0  0
  0  0  0  0 12  0  0 12  0 12  0  0  0  0 12  0 12  0  0 12 12  0 12 12
  0  0  0 12  0  0  0 12  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 12  0  0  0  0  0  0  0  0  0 12  0  0  0]",12,9
MLP,{'dropout_rate': 0.1},CostSensitiveLoss,RMSprop,{'lr': 0.001},0.3016194331983806,0.27292576419213976,0.9124087591240876,0.4201680672268908,-0.03507364948028375,0.004902233615604,"[458 458 458 458 458   0   0 458   0   0   0   0   0   0 458   0   0   0
   0   0   0   0 458 458   0   0 458 458 458   0 458   0   0   0   0 458
   0   0   0   0 458   0 458 458 458   0   0   0 458   0 458   0   0   0
   0 458   0 458   0   0 458   0   0   0   0   0   0 458   0 458   0 458
   0   0   0   0 458 458 458   0 458 458   0   0   0   0   0   0   0   0
   0   0 458   0   0   0 458 458 458 458   0   0   0   0   0   0   0   0
   0   0   0   0   0 458 458 458   0   0   0 458 458   0   0   0   0 458
   0 458 458   0   0   0   0 458   0   0   0   0   0   0 458 458   0 458
   0   0   0 458   0   0   0   0   0 458 458   0   0   0 458 458   0   0
   0 458   0   0   0 458   0   0   0   0   0 458   0   0   0   0   0   0
 458   0 458   0   0   0   0   0   0 458   0   0 458   0 458   0   0   0
 458 458 458   0   0   0 458   0   0   0 458 458   0   0   0   0 458   0
   0 458   0 458   0   0   0 458 458 458   0   0   0 458   0   0   0   0
 458 458   0   0 458   0 458 458   0 458   0 458 458   0 458   0   0 458
   0 458   0   0   0   0   0   0 458   0   0   0   0   0 458   0   0   0
   0 458   0   0   0 458   0 458   0   0   0   0   0 458   0   0   0   0
 458   0   0   0 458 458   0   0   0   0   0   0 458   0   0   0 458   0
   0   0 458   0   0   0 458   0   0 458   0   0   0   0   0   0 458   0
   0   0   0   0   0   0   0   0   0   0   0 458 458   0   0 458   0   0
   0 458   0   0   0 458 458   0   0   0   0   0   0   0   0   0   0   0
   0 458 458   0   0   0   0   0   0   0 458 458   0   0 458   0   0   0
 458 458   0   0   0   0 458   0   0   0   0   0   0   0   0 458   0   0
   0   0 458   0   0   0   0 458   0   0   0   0 458   0   0 458 458 458
   0   0 458   0   0   0   0   0 458   0   0   0 458   0   0   0   0   0
   0   0   0   0 458   0   0 458   0 458   0   0   0   0 458   0 458   0
   0 458 458   0 458 458   0   0   0 458   0   0   0 458   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0 458   0   0   0   0   0
   0   0   0   0 458   0   0   0]",458,237
MLP,{'dropout_rate': 0.1},CostSensitiveLoss,RMSprop,{'lr': 0.01},0.2651821862348178,0.23349056603773585,0.7226277372262774,0.3529411764705882,-0.24099661827704874,0.0012672987574592,"[424 424 424 424 424   0   0 424   0   0   0   0   0   0 424   0   0   0
   0   0   0   0 424 424   0   0 424 424 424   0 424   0   0   0   0 424
   0   0   0   0 424   0 424 424 424   0   0   0 424   0 424   0   0   0
   0 424   0 424   0   0 424   0   0   0   0   0   0 424   0 424   0 424
   0   0   0   0 424 424 424   0 424 424   0   0   0   0   0   0   0   0
   0   0 424   0   0   0 424 424 424 424   0   0   0   0   0   0   0   0
   0   0   0   0   0 424 424 424   0   0   0 424 424   0   0   0   0 424
   0 424 424   0   0   0   0 424   0   0   0   0   0   0 424 424   0 424
   0   0   0 424   0   0   0   0   0 424 424   0   0   0 424 424   0   0
   0 424   0   0   0 424   0   0   0   0   0 424   0   0   0   0   0   0
 424   0 424   0   0   0   0   0   0 424   0   0 424   0 424   0   0   0
 424 424 424   0   0   0 424   0   0   0 424 424   0   0   0   0 424   0
   0 424   0 424   0   0   0 424 424 424   0   0   0 424   0   0   0   0
 424 424   0   0 424   0 424 424   0 424   0 424 424   0 424   0   0 424
   0 424   0   0   0   0   0   0 424   0   0   0   0   0 424   0   0   0
   0 424   0   0   0 424   0 424   0   0   0   0   0 424   0   0   0   0
 424   0   0   0 424 424   0   0   0   0   0   0 424   0   0   0 424   0
   0   0 424   0   0   0 424   0   0 424   0   0   0   0   0   0 424   0
   0   0   0   0   0   0   0   0   0   0   0 424 424   0   0 424   0   0
   0 424   0   0   0 424 424   0   0   0   0   0   0   0   0   0   0   0
   0 424 424   0   0   0   0   0   0   0 424 424   0   0 424   0   0   0
 424 424   0   0   0   0 424   0   0   0   0   0   0   0   0 424   0   0
   0   0 424   0   0   0   0 424   0   0   0   0 424   0   0 424 424 424
   0   0 424   0   0   0   0   0 424   0   0   0 424   0   0   0   0   0
   0   0   0   0 424   0   0 424   0 424   0   0   0   0 424   0 424   0
   0 424 424   0 424 424   0   0   0 424   0   0   0 424   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0 424   0   0   0   0   0
   0   0   0   0 424   0   0   0]",424,196
MLP,{'dropout_rate': 0.1},BCELoss,SGD,"{'lr': 0.01, 'momentum': 0.9}",0.6477732793522267,0.2318840579710145,0.11678832116788321,0.1553398058252427,-0.04090138513408235,0.002368726938773609,"[69 69 69 69 69  0  0 69  0  0  0  0  0  0 69  0  0  0  0  0  0  0 69 69
  0  0 69 69 69  0 69  0  0  0  0 69  0  0  0  0 69  0 69 69 69  0  0  0
 69  0 69  0  0  0  0 69  0 69  0  0 69  0  0  0  0  0  0 69  0 69  0 69
  0  0  0  0 69 69 69  0 69 69  0  0  0  0  0  0  0  0  0  0 69  0  0  0
 69 69 69 69  0  0  0  0  0  0  0  0  0  0  0  0  0 69 69 69  0  0  0 69
 69  0  0  0  0 69  0 69 69  0  0  0  0 69  0  0  0  0  0  0 69 69  0 69
  0  0  0 69  0  0  0  0  0 69 69  0  0  0 69 69  0  0  0 69  0  0  0 69
  0  0  0  0  0 69  0  0  0  0  0  0 69  0 69  0  0  0  0  0  0 69  0  0
 69  0 69  0  0  0 69 69 69  0  0  0 69  0  0  0 69 69  0  0  0  0 69  0
  0 69  0 69  0  0  0 69 69 69  0  0  0 69  0  0  0  0 69 69  0  0 69  0
 69 69  0 69  0 69 69  0 69  0  0 69  0 69  0  0  0  0  0  0 69  0  0  0
  0  0 69  0  0  0  0 69  0  0  0 69  0 69  0  0  0  0  0 69  0  0  0  0
 69  0  0  0 69 69  0  0  0  0  0  0 69  0  0  0 69  0  0  0 69  0  0  0
 69  0  0 69  0  0  0  0  0  0 69  0  0  0  0  0  0  0  0  0  0  0  0 69
 69  0  0 69  0  0  0 69  0  0  0 69 69  0  0  0  0  0  0  0  0  0  0  0
  0 69 69  0  0  0  0  0  0  0 69 69  0  0 69  0  0  0 69 69  0  0  0  0
 69  0  0  0  0  0  0  0  0 69  0  0  0  0 69  0  0  0  0 69  0  0  0  0
 69  0  0 69 69 69  0  0 69  0  0  0  0  0 69  0  0  0 69  0  0  0  0  0
  0  0  0  0 69  0  0 69  0 69  0  0  0  0 69  0 69  0  0 69 69  0 69 69
  0  0  0 69  0  0  0 69  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 69  0  0  0  0  0  0  0  0  0 69  0  0  0]",69,38
MLP,{'dropout_rate': 0.1},BCELoss,Adam,{'lr': 0.001},0.7105263157894737,0.2,0.014598540145985401,0.027210884353741496,-0.02482826033233194,-0.0027952235237268495,"[10 10 10 10 10  0  0 10  0  0  0  0  0  0 10  0  0  0  0  0  0  0 10 10
  0  0 10 10 10  0 10  0  0  0  0 10  0  0  0  0 10  0 10 10 10  0  0  0
 10  0 10  0  0  0  0 10  0 10  0  0 10  0  0  0  0  0  0 10  0 10  0 10
  0  0  0  0 10 10 10  0 10 10  0  0  0  0  0  0  0  0  0  0 10  0  0  0
 10 10 10 10  0  0  0  0  0  0  0  0  0  0  0  0  0 10 10 10  0  0  0 10
 10  0  0  0  0 10  0 10 10  0  0  0  0 10  0  0  0  0  0  0 10 10  0 10
  0  0  0 10  0  0  0  0  0 10 10  0  0  0 10 10  0  0  0 10  0  0  0 10
  0  0  0  0  0 10  0  0  0  0  0  0 10  0 10  0  0  0  0  0  0 10  0  0
 10  0 10  0  0  0 10 10 10  0  0  0 10  0  0  0 10 10  0  0  0  0 10  0
  0 10  0 10  0  0  0 10 10 10  0  0  0 10  0  0  0  0 10 10  0  0 10  0
 10 10  0 10  0 10 10  0 10  0  0 10  0 10  0  0  0  0  0  0 10  0  0  0
  0  0 10  0  0  0  0 10  0  0  0 10  0 10  0  0  0  0  0 10  0  0  0  0
 10  0  0  0 10 10  0  0  0  0  0  0 10  0  0  0 10  0  0  0 10  0  0  0
 10  0  0 10  0  0  0  0  0  0 10  0  0  0  0  0  0  0  0  0  0  0  0 10
 10  0  0 10  0  0  0 10  0  0  0 10 10  0  0  0  0  0  0  0  0  0  0  0
  0 10 10  0  0  0  0  0  0  0 10 10  0  0 10  0  0  0 10 10  0  0  0  0
 10  0  0  0  0  0  0  0  0 10  0  0  0  0 10  0  0  0  0 10  0  0  0  0
 10  0  0 10 10 10  0  0 10  0  0  0  0  0 10  0  0  0 10  0  0  0  0  0
  0  0  0  0 10  0  0 10  0 10  0  0  0  0 10  0 10  0  0 10 10  0 10 10
  0  0  0 10  0  0  0 10  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 10  0  0  0  0  0  0  0  0  0 10  0  0  0]",10,5
