,ticker,ma50,ma200,ADX,ADXR,AROONOSC,stochK,stochD,TRIX,ULTOSC,MACD,MACDSIG,MACDHIST,TRANGE,BBupperband,BBmiddleband,BBlowerband,apo,cci,cfo,cmo,cti,mom,roc,rsi,rsx,willr,wma,tema,atr,rvi,VIX,VXN,Market Cap,DPC,Cumulative Return,PriceUp,Close Change,Open Change,High Change,Low Change,Target,AD_difference,AD_RATIO
0,AAPL,,,,,,,,,,,,,0.6978654101699604,0.4742561585206795,0.2197168143976066,-0.0308834762935998,,,,,,,,,,,,,,,19.100000381469727,22.030000686645508,0.6608235867795349,-0.5578535599981099,-0.2057326102698367,-1,-0.0107443958448724,-0.0074296441252521,-0.0178243358284394,-0.0252294453515814,0,-316,0.219753086419753
1,MSFT,,,,,,,,,,,,,-0.270474302374022,-1.6341867017326344,-1.6376002964678111,-1.5469424453489178,,,,,,,,,,,,,,,19.100000381469727,22.030000686645508,0.1040346154492961,-0.8137057701405896,-2.06859558440316,-1,-7.960827673347826e-05,-0.0091676586694543,-0.0045896280203798,-0.0094588373981685,0,-316,0.219753086419753
2,AMZN,,,,,,,,,,,,,0.427532365946022,1.0719952220057876,1.004535376705787,0.8719854826881097,,,,,,,,,,,,,,,19.100000381469727,22.030000686645508,1.6391041731081564,-0.6281883325879208,0.589899804209819,-1,-0.0093337227788299,-0.009833878652676,-0.0134186232486397,-0.0178010151648396,0,-316,0.219753086419753
3,TSLA,,,,,,,,,,,,,-0.2068343792073282,1.2505037948884017,1.320998731951206,1.2387503541050535,,,,,,,,,,,,,,,19.100000381469727,22.030000686645508,-0.3961092922952936,-0.690759127112978,0.8993403644307393,-1,-0.0116810695486608,-0.0200049147399213,-0.0276137801750292,-0.0297297997084849,0,-316,0.219753086419753
4,META,,,,,,,,,,,,,-0.5061851199139793,0.5743952253297446,0.4943175021804302,0.3911194700312405,,,,,,,,,,,,,,,19.100000381469727,22.030000686645508,-0.327356340683165,-0.6223348608309979,-0.0361379358616058,-1,-0.0046955757158062,-0.0115634534477216,-0.0049811081279452,-0.0121453646664394,0,-316,0.219753086419753
5,UNH,,,,,,,,,,,,,-0.1825088769436976,-0.5719746078542058,-0.6592105736061078,-0.6865139637161516,,,,,,,,,,,,,,,19.100000381469727,22.030000686645508,0.203065225325473,-0.3641038562398572,-0.7005051090158241,-1,-0.0049342794464133,-0.0058824953303707,-0.0011214024887369,0.0005942323925947,0,-316,0.219753086419753
6,V,,,,,,,,,,,,,0.3105163376076837,-1.951479716214097,-1.87482598259012,-1.659523627471828,,,,,,,,,,,,,,,19.100000381469727,22.030000686645508,-0.3716349171937774,-0.5380627179219586,-2.1417020227391914,-1,-0.0059094792205782,-0.0056957781297006,-0.0114409510276209,-0.0147318001462318,0,-316,0.219753086419753
7,NVDA,,,,,,,,,,,,,1.2929962405702269,1.3682031521353684,1.1666989826427938,0.8905876158984943,,,,,,,,,,,,,,,19.100000381469727,22.030000686645508,1.883131455235187,-0.2293333834660874,0.7079168751634065,-1,-0.0214463627267239,-0.0049997441938989,-0.0317242483779821,-0.0356807783973233,0,-316,0.219753086419753
8,JNJ,,,,,,,,,,,,,0.0502305150512045,1.1590961002022748,1.1929080006080692,1.1129826662677589,,,,,,,,,,,,,,,19.100000381469727,22.030000686645508,-0.4947058692994301,-0.8296572669309508,0.7955309837150527,-1,-0.0075826677610794,-0.0089157169606827,-0.0113537774072689,-0.0147457498204758,0,-316,0.219753086419753
9,WMT,,,,,,,,,,,,,-0.6439507907431835,-1.7220440268086754,-1.7607873432213643,-1.7253118771916651,,,,,,,,,,,,,,,19.100000381469727,22.030000686645508,-0.1440014115607804,-0.5807942770963894,-2.019222021888714,-1,-0.0023054418517907,-0.0045154247862697,-0.0056324951495501,-0.0048558099628716,0,-316,0.219753086419753
10,XOM,,,,,,,,,,,,,-0.4749118778458818,0.7436418272299647,0.9841621139721668,1.1247064553441757,,,,,,,,,,,,,,,19.100000381469727,22.030000686645508,0.8328267698369366,-0.1801332182173312,0.7050846936922814,-1,-0.0009110374784189,-0.0024824514845083,-0.0053048012067474,-0.0060194120717442,0,-316,0.219753086419753
