,ticker,ma50,ma200,ADX,ADXR,AROONOSC,stochK,stochD,TRIX,ULTOSC,MACD,MACDSIG,MACDHIST,TRANGE,BBupperband,BBmiddleband,BBlowerband,apo,cci,cfo,cmo,cti,mom,roc,rsi,rsx,willr,wma,tema,atr,rvi,VIX,VXN,Market Cap,DPC,Cumulative Return,PriceUp,Close Change,Open Change,High Change,Low Change,Target,AD_difference,AD_RATIO
0,AAPL,,,,,,,,,,,,,-0.0087102514713819,,,,,,,,,,,,,,,,,,14.420000076293944,17.6200008392334,0.5126351660629661,-0.0518580098347366,0.6412239317802676,-1,-0.0065077469332158,-0.00019062836844,-0.0123542995562327,-0.0052573311703935,0,-314,0.2227722772277227
1,MSFT,,,,,,,,,,,,,-0.0349923260953288,,,,,,,,,,,,,,,,,,14.420000076293944,17.6200008392334,0.1957688963714716,-1.6273363378720782,-1.2062359166918846,-1,-0.01305904471626,-0.0195356452432245,-0.0202830948830566,-0.0170712046369775,0,-314,0.2227722772277227
2,AMZN,,,,,,,,,,,,,0.2782639323001571,,,,,,,,,,,,,,,,,,14.420000076293944,17.6200008392334,0.3446122843511106,-0.6696714968416786,0.670691560417218,-1,-0.0055975982764733,-0.0102220441104489,-0.0113652716131833,-0.0150113649251096,0,-314,0.2227722772277227
3,TSLA,,,,,,,,,,,,,0.9522658010408152,,,,,,,,,,,,,,,,,,14.420000076293944,17.6200008392334,2.4583323496177982,0.9614666026809184,1.0383595748084025,1,0.0431177459281835,0.0279254888279658,0.0297082662582397,0.0268682186263962,1,-314,0.2227722772277227
4,META,,,,,,,,,,,,,-0.1525462448170875,,,,,,,,,,,,,,,,,,14.420000076293944,17.6200008392334,-0.2343750035352645,-0.5115696538752291,0.6090467364674049,-1,-0.0025902709587212,-0.0091385090381572,-0.0111122069383703,-0.0168902885840995,0,-314,0.2227722772277227
5,UNH,,,,,,,,,,,,,-0.0169558625260469,,,,,,,,,,,,,,,,,,14.420000076293944,17.6200008392334,1.02781776995217,-0.6564682839987479,-1.4442777622032508,-1,0.0021557549285255,-0.0093104483323326,-0.0054555082777631,-0.0098544709241443,0,-314,0.2227722772277227
6,V,,,,,,,,,,,,,-0.2970123860991737,,,,,,,,,,,,,,,,,,14.420000076293944,17.6200008392334,-0.5405780159623745,-1.6878667629200896,-1.4709127261568151,-1,-0.0102587327651166,-0.0207805262660549,-0.0160493827490583,-0.0142551650006678,0,-314,0.2227722772277227
7,NVDA,,,,,,,,,,,,,0.1140971688883202,,,,,,,,,,,,,,,,,,14.420000076293944,17.6200008392334,0.1477488719342066,-0.5091642354273119,1.474730985088951,-1,0.0150716587248178,-0.0122877980650046,0.0003245410602363,-0.0074256349218251,1,-314,0.2227722772277227
8,JNJ,,,,,,,,,,,,,-0.047223768968555,,,,,,,,,,,,,,,,,,14.420000076293944,17.6200008392334,0.6166003754120982,0.7477298542031452,1.3322203445180052,1,-0.0047201015834019,0.006810829428866,-0.0014052164347264,0.0026474064180899,0,-314,0.2227722772277227
9,WMT,,,,,,,,,,,,,0.163717303399124,,,,,,,,,,,,,,,,,,14.420000076293944,17.6200008392334,-0.5497358806653168,-1.282305450324555,-1.5593891656029018,-1,-0.0020716219288376,-0.0130385992334629,-0.0072948191617163,-0.0102683809128607,0,-314,0.2227722772277227
10,XOM,,,,,,,,,,,,,0.5552846689286528,,,,,,,,,,,,,,,,,,14.420000076293944,17.6200008392334,1.5062456331263478,-1.7183281640555867,1.3362977159808225,-1,-0.017541414667115,-0.0207654395287991,-0.0219285780401724,-0.0175526666256676,0,-314,0.2227722772277227
11,JPM,,,,,,,,,,,,,-0.9458896509760344,,,,,,,,,,,,,,,,,,14.420000076293944,17.6200008392334,-0.7399728635733909,-0.4287056983599351,0.8466815072582108,-1,0.0021708776632496,-0.0047528928683763,-0.0104273756116975,-0.0046042957559243,0,-314,0.2227722772277227
12,PG,,,,,,,,,,,,,-1.0851334646320046,,,,,,,,,,,,,,,,,,14.420000076293944,17.6200008392334,-0.5657370062404627,-0.9612095055809295,-1.3781719411225133,-1,0.0060040486317869,-0.0089495715351318,-0.0059215120907885,0.0022899821918038,0,-314,0.2227722772277227
13,MA,,,,,,,,,,,,,-0.3890691918023292,,,,,,,,,,,,,,,,,,14.420000076293944,17.6200008392334,0.7084439590335037,-2.021450942873102,-1.5589344367560405,-1,-0.0062713995833689,-0.0287956438642779,-0.0311414980389868,-0.0176539685352856,0,-314,0.2227722772277227
14,HD,,,,,,,,,,,,,-0.9462612760418398,,,,,,,,,,,,,,,,,,14.420000076293944,17.6200008392334,-0.7650258782822099,-1.7726871075769275,-0.8335239507549147,-1,0.0111166426689466,-0.0191928975851617,-0.0120873109350528,0.0007047043185837,0,-314,0.2227722772277227
15,CVX,,,,,,,,,,,,,0.2968930520700848,,,,,,,,,,,,,,,,,,14.420000076293944,17.6200008392334,1.3630059812200297,-1.9909593161866177,-1.6200214201945922,-1,-0.012138394454235,-0.0210352947333691,-0.0138173829576994,-0.0125681659763801,0,-314,0.2227722772277227
16,LLY,,,,,,,,,,,,,-0.5970902049920961,,,,,,,,,,,,,,,,,,14.420000076293944,17.6200008392334,0.2835857068473309,0.8987721294434907,1.6030686056065329,1,0.0023691920128952,0.0118751959693503,-0.0080315131589198,0.0025737430945445,0,-314,0.2227722772277227
